id,type,max_velocity,min_velocity,mean_velocity,max_acceleration,min_acceleration,mean_acceleration,rapid_acceleration_count,occupy_count,overspeed_count,lane_change_count,consecutive_lane_changes_count,Cluster,Distance_to_Center
181778,-1,5.8388634,1.4013815,4.0950168,7.286847999999999,1.5881158000000006,4.4374819,1,0.0,0.0,1,0.0,0,3.292844153776317
182424,-1,3.5146475,0.7781943,2.1464209,5.4729064,5.4729064,5.4729064,1,0.0,0.0,0,0.0,0,2.32427638457104
182501,-1,3.286991,1.0192388,2.1531149,4.535504400000001,4.535504400000001,4.535504400000001,1,0.0,0.0,0,0.0,0,1.976691806937673
183701,-1,3.0389066,0.47178188,2.0375288266666662,4.26023224,0.8740171999999999,2.56712472,1,0.0,0.0,0,0.0,0,2.442872471851909
183731,-1,3.3285112,1.1498878,2.2391995,4.3572468,4.3572468,4.3572468,1,0.0,0.0,0,0.0,0,1.883540693209428
183733,-1,3.5818741,1.7783068,2.68009045,3.6071346,3.6071346,3.6071346,1,0.0,0.0,0,0.0,0,1.8746323707941963
184339,-1,3.3516276,1.2820667,2.31684715,4.1391218,4.1391218,4.1391218,1,0.0,0.0,0,0.0,0,1.825615385216792
184484,-1,4.060855,1.0307056,2.6979431333333337,3.9431264,2.1171724000000003,3.0301494,1,0.0,0.0,0,0.0,0,1.5171534628327326
185319,-1,4.269845,1.5250272,2.8974361,5.4896356,5.4896356,5.4896356,1,0.0,0.0,0,0.0,0,1.977920957478414
185355,-1,6.04843,0.86248046,3.194234653333333,6.753272999999999,3.61862608,5.185949539999999,2,0.0,0.0,0,0.0,0,1.8433208495489692
186411,-1,4.19366,0.6651974,2.5322019,6.211215599999999,0.0117620000000009,2.3523084,1,0.0,0.0,1,0.0,0,3.796162604833128
186446,-1,5.3618145,1.4796498,2.7737047,7.764329400000001,0.0,3.8821647000000006,1,0.0,0.0,0,0.0,0,1.6655646624901597
186675,-1,3.996425,1.3984318,2.6974284,5.1959864,5.1959864,5.1959864,1,0.0,0.0,0,0.0,0,1.8799861604051888
186771,-1,4.3341827,0.75808424,2.4784712950000003,6.610899519999999,0.0,2.38406564,1,0.0,0.0,0,0.0,0,2.048146994069622
186788,-1,4.1851544,0.6794138,2.56935575,4.362542,0.7761830000000005,2.3371604,1,0.0,0.0,0,0.0,0,2.0082794017666497
187041,-1,4.4996023,1.3248307,2.9122165,6.349543200000001,6.349543200000001,6.349543200000001,1,0.0,0.0,0,0.0,0,2.415078745964869
187057,-1,4.908158,0.8686577,2.6367793333333336,5.5492714,2.5297292,4.0395003,1,0.0,0.0,0,0.0,0,1.0984389828654777
187096,-1,4.86424,1.0678225,3.4888086,4.680778600000001,0.2232547999999994,1.89820875,1,0.0,0.0,0,0.0,0,1.87674471384486
187135,-1,3.5765247,0.6208263,2.194247733333333,3.5291318,2.3822649999999994,2.9556984,1,0.0,0.0,0,0.0,0,2.061516841476477
187219,-1,5.8915234,1.7293015,4.3277282800000005,4.433553000000001,0.1127348000000001,2.08111095,1,0.0,0.0,0,0.0,0,2.0839466302563783
187238,-1,6.102328,1.6529787,4.85095166,5.836196599999999,0.0708508000000005,2.22467465,1,0.0,0.0,0,0.0,0,2.037175191146397
187308,-1,3.6884778,1.7583883,2.72343305,3.860179,3.860179,3.860179,1,0.0,0.0,0,0.0,0,1.811428268442468
187337,-1,3.9478621,0.7283743,2.4621398,3.9636174,2.4753582000000005,3.2194878,1,0.0,0.0,0,0.0,0,1.7152228828563896
187453,-1,4.6282616,1.7125623,3.6893766,3.5310884,0.3702345999999998,1.45784965,1,0.0,0.0,1,0.0,0,3.884448626378763
187525,-1,5.4946375,1.3253089,3.536661333333333,4.9294574,3.4091998,4.1693286,2,0.0,0.0,0,0.0,0,1.6736630316745282
187580,-1,3.7331998,0.72647136,2.93492234,5.69269568,0.0520015999999996,2.0044856266666664,1,0.0,0.0,1,0.0,0,3.814398389047272
188381,-1,2.8527968,0.6452415,2.0296381,3.891269,0.5238415999999999,2.2075553,1,0.0,0.0,0,0.0,0,2.5513699246017887
188410,-1,2.8574085,0.7089414,2.138708166666667,4.2969342,-0.0152678000000001,2.1408332,1,0.0,0.0,0,0.0,0,2.5821108979053995
188561,-1,5.5324583,1.6702136,3.368175066666667,5.26121,2.4632794,3.8622447,1,0.0,0.0,0,0.0,0,1.0002867247125098
188605,-1,6.4640374,1.1251281,4.00567515,6.702227399999999,1.1434259999999998,3.559272866666666,1,0.0,0.0,0,0.0,0,1.1368322311914607
188639,-1,3.7126434,1.0161448,2.829892225,4.019301800000001,0.2953168000000001,1.7976657333333337,1,0.0,0.0,0,0.0,0,2.18309122221167
188907,-1,3.3722532,1.4411756,2.4067144,3.8621552,3.8621552,3.8621552,1,0.0,0.0,0,0.0,0,1.81251714545478
188917,-1,2.9529688,0.6313567,2.0079849333333333,3.6165452,1.0266789999999997,2.3216121,1,0.0,0.0,1,0.0,0,4.005588060402055
189634,-1,3.85361,1.0957422,2.4746761,5.5157356,5.5157356,5.5157356,1,0.0,0.0,0,0.0,0,2.09795346295279
189652,-1,3.3155732,1.0499015,2.18273735,4.531343400000001,4.531343400000001,4.531343400000001,1,0.0,0.0,0,0.0,0,1.9519480569712608
189762,-1,4.8837705,1.5016975,3.78736258,4.398908200000001,0.565040999999999,1.6910365,1,0.0,0.0,0,0.0,0,1.9041419345317456
189806,-1,4.115285,1.7683369,2.94181095,4.6938962,4.6938962,4.6938962,1,0.0,0.0,0,0.0,0,1.802449482238376
189849,-1,4.1845427,1.0244958,3.019077766666667,5.647398,0.6726957999999996,3.1600469,1,0.0,0.0,0,0.0,0,1.4551670073997225
190865,-1,3.2446878,1.4054886,2.3250882,3.6783984,3.6783984,3.6783984,1,0.0,0.0,0,0.0,0,1.8708121485560596
190933,-1,4.5877333,1.2315327,3.3450855,5.968915600000001,0.7434855999999996,3.3562006,1,0.0,0.0,0,0.0,0,1.2268971742172594
190967,-1,4.6365886,1.4641124,3.0503505,6.344952399999999,6.344952399999999,6.344952399999999,1,0.0,0.0,0,0.0,0,2.408056139199166
192156,-1,4.1351185,0.66733795,2.76297115,5.638238100000001,1.2973229999999996,3.46778055,1,0.0,0.0,0,0.0,0,1.5229808092215948
192599,-1,4.4090242,1.5958588,3.0024415,5.6263308,5.6263308,5.6263308,1,0.0,0.0,0,0.0,0,2.0456107143882694
192612,-1,3.972468,1.1720067,2.57223735,5.6009226000000005,5.6009226000000005,5.6009226000000005,1,0.0,0.0,0,0.0,0,2.090956666021517
192930,-1,5.7600765,0.9848179,4.496364300000001,6.8922322,0.0033302000000006,2.3876293000000004,1,0.0,0.0,0,0.0,0,1.833388268516804
193099,-1,6.094851,1.4511095,4.404564733333333,8.4332484,0.8542345999999998,4.6437415,1,0.0,0.0,0,0.0,0,1.4655064896898289
193759,-1,3.1871452,1.0668106,2.1269779,4.240669199999999,4.240669199999999,4.240669199999999,1,0.0,0.0,0,0.0,0,1.9543241374555784
193831,-1,4.0153933,0.95560855,2.82604601,5.2258072,-0.2705289999999998,1.427564225,1,0.0,0.0,0,0.0,0,2.3103416014494598
194895,-1,4.5151987,1.5397766,3.02748765,5.950844200000001,5.950844200000001,5.950844200000001,1,0.0,0.0,0,0.0,0,2.1952784946679533
194929,-1,5.6457157,1.6487024,4.16432146,6.679460400000001,-0.0891333999999997,1.98567615,1,0.0,0.0,0,0.0,0,1.9809839698331544
194933,-1,3.845812,1.0319141,2.43886305,5.6277958,5.6277958,5.6277958,1,0.0,0.0,0,0.0,0,2.1756283243326067
195390,-1,3.681754,0.9237511,2.809244825,4.0710034,-0.0190652,1.8323135333333327,1,0.0,0.0,1,0.0,0,3.9006934760979206
195511,-1,3.1536205,0.53625786,2.33426664,4.31648188,0.4018622,1.7449084266666668,1,0.0,0.0,0,0.0,0,2.553135470251777
196008,-1,7.417378,0.8709962,4.342713733333333,7.737541599999999,5.355222000000001,6.546381800000001,2,0.0,0.0,0,0.0,0,2.750045391147346
196070,-1,7.3523293,1.268428,5.5014815,9.6795394,0.1507166000000008,4.0559342,1,0.0,0.0,0,0.0,0,2.38716044783443
196197,-1,3.420224,1.1790096,2.2996168,4.4824288,4.4824288,4.4824288,1,0.0,0.0,0,0.0,0,1.8608314290359869
196407,-1,3.4516356,0.5863101,2.6751869,4.113894,0.0981401999999995,1.43266275,1,0.0,0.0,0,0.0,0,2.5739523798979542
196418,-1,3.7733037,0.9077774,2.809616875,4.3561958,0.6035852000000004,1.9103508666666664,1,0.0,0.0,0,0.0,0,2.051998511792964
